shortname;fullname;type [options...] \| (min/max);uom;writeable;discovery entityid
servicecodenumber;service code number;uint16 (>=0<=31999); ;FALSE;sensor.boiler_servicecodenumber
maintenancemessage;maintenance message;string; ;FALSE;sensor.boiler_maintenancemessage
maintenance;maintenance scheduled;enum [off\|time\|date\|manual]; ;TRUE;select.boiler_maintenance
maintenancetime;time to next maintenance;uint16 (>=0<=31999);hours;TRUE;number.boiler_maintenancetime
maintenancedate;next maintenance date;string; ;TRUE;sensor.boiler_maintenancedate
emergencyops;emergency operation;boolean; ;TRUE;switch.boiler_emergencyops
emergencytemp;emergency temperature;uint8 (>=15<=70);C;TRUE;number.boiler_emergencytemp
meterheat;meter heating;uint24 (>=0<=1677721);kWh;FALSE;sensor.boiler_meterheat
meter;meter;uint24 (>=0<=1677721);kWh;FALSE;sensor.boiler_dhw_meter
gasmeterheat;gas meter heating;uint24 (>=0<=1677721);kWh;FALSE;sensor.boiler_gasmeterheat
gasmeter;gas meter;uint24 (>=0<=1677721);kWh;FALSE;sensor.boiler_dhw_gasmeter
nrgheat2;energy heating 2;uint24 (>=0<=1677721);kWh;FALSE;sensor.boiler_nrgheat2
nrg2;energy 2;uint24 (>=0<=1677721);kWh;FALSE;sensor.boiler_dhw_nrg2
tapactivated;turn on/off;boolean; ;TRUE;switch.boiler_dhw_tapactivated
settemp;set temperature;uint8 (>=0<=254);C;FALSE;sensor.boiler_dhw_settemp
seltemp;selected temperature;uint8 (>=0<=254);C;TRUE;number.boiler_dhw_seltemp
seltemplow;selected lower temperature;uint8 (>=0<=254);C;TRUE;number.boiler_dhw_seltemplow
tempecoplus;selected eco+ temperature;uint8 (>=0<=254);C;TRUE;number.boiler_dhw_tempecoplus
seltempoff;selected temperature for off;uint8 (>=0<=254);C;FALSE;sensor.boiler_dhw_seltempoff
seltempsingle;single charge temperature;uint8 (>=0<=254);C;TRUE;number.boiler_dhw_seltempsingle
solartemp;solar boiler temperature;uint16 (>=0<=3199);C;FALSE;sensor.boiler_dhw_solartemp
type;type;enum [off\|flow\|buffered flow\|buffer\|layered buffer]; ;FALSE;sensor.boiler_dhw_type
comfort;comfort;enum [hot\|eco\|intelligent]; ;TRUE;select.boiler_dhw_comfort
comfort1;comfort mode;enum [high comfort\|eco]; ;TRUE;select.boiler_dhw_comfort1
flowtempoffset;flow temperature offset;uint8 (>=0<=100);C;TRUE;number.boiler_dhw_flowtempoffset
chargeoptimization;charge optimization;boolean; ;TRUE;switch.boiler_dhw_chargeoptimization
maxpower;max power;uint8 (>=0<=254);%;TRUE;number.boiler_dhw_maxpower
maxtemp;maximum temperature;uint8 (>=0<=80);C;TRUE;number.boiler_dhw_maxtemp
circpump;circulation pump available;boolean; ;TRUE;switch.boiler_dhw_circpump
chargetype;charging type;enum [chargepump\|3-way valve]; ;FALSE;sensor.boiler_dhw_chargetype
hyston;hysteresis on temperature;int8 (>=-126<=126);C;TRUE;number.boiler_dhw_hyston
hystoff;hysteresis off temperature;int8 (>=-126<=126);C;TRUE;number.boiler_dhw_hystoff
disinfectiontemp;disinfection temperature;uint8 (>=60<=80);C;TRUE;number.boiler_dhw_disinfectiontemp
circmode;circulation pump mode;enum [off\|1x3min\|2x3min\|3x3min\|4x3min\|5x3min\|6x3min\|continuous]; ;TRUE;select.boiler_dhw_circmode
circ;circulation active;boolean; ;TRUE;switch.boiler_dhw_circ
curtemp;current intern temperature;uint16 (>=0<=3199);C;FALSE;sensor.boiler_dhw_curtemp
curtemp2;current extern temperature;uint16 (>=0<=3199);C;FALSE;sensor.boiler_dhw_curtemp2
curflow;current tap water flow;uint8 (>=0<=25);l/min;FALSE;sensor.boiler_dhw_curflow
storagetemp1;storage intern temperature;uint16 (>=0<=3199);C;FALSE;sensor.boiler_dhw_storagetemp1
storagetemp2;storage extern temperature;uint16 (>=0<=3199);C;FALSE;sensor.boiler_dhw_storagetemp2
activated;activated;boolean; ;TRUE;switch.boiler_dhw_activated
onetime;one time charging;boolean; ;TRUE;switch.boiler_dhw_onetime
disinfecting;disinfecting;boolean; ;TRUE;switch.boiler_dhw_disinfecting
charging;charging;boolean; ;FALSE;binary_sensor.boiler_dhw_charging
recharging;recharging;boolean; ;FALSE;binary_sensor.boiler_dhw_recharging
tempok;temperature ok;boolean; ;FALSE;binary_sensor.boiler_dhw_tempok
active;active;boolean; ;FALSE;binary_sensor.boiler_dhw_active
3wayvalve;3-way valve active;boolean; ;FALSE;binary_sensor.boiler_dhw_3wayvalve
mixertemp;mixer temperature;uint16 (>=0<=3199);C;FALSE;sensor.boiler_dhw_mixertemp
cylmiddletemp;cylinder middle temperature (TS3);uint16 (>=0<=3199);C;FALSE;sensor.boiler_dhw_cylmiddletemp
starts;starts;uint24 (>=0<=16777213); ;FALSE;sensor.boiler_dhw_starts
workm;active time;time (>=0<=16777213);minutes;FALSE;sensor.boiler_dhw_workm
nompower;nominal Power;uint8 (>=0<=254);kW;TRUE;number.boiler_nompower
nrgtotal;total energy;uint24 (>=0<=167772);kWh;FALSE;sensor.boiler_nrgtotal
nrgheat;energy heating;uint24 (>=0<=10000000);kWh;TRUE;number.boiler_nrgheat
nrg;energy;uint24 (>=0<=10000000);kWh;TRUE;number.boiler_dhw_nrg
